Time,TimeStamp, AccX, AccY, AccZ, GyrX, GyrY, GyrZ, MagX, MagY, MagZ, Roll, Pitch, Yaw, Qw, Qx, Qy, Qz

16-40-48.018,2515, 0.019, 0.016, 0.999, -0.07, -0.15, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.022,2520, 0.017, 0.016, 0.996, 0.00, 0.03, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.028,2525, 0.015, 0.014, 1.000, 0.12, 0.03, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.032,2530, 0.015, 0.015, 1.001, 0.00, -0.03, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.038,2535, 0.014, 0.014, 1.003, -0.13, -0.03, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.042,2540, 0.011, 0.019, 1.002, -0.07, -0.03, -0.15, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.048,2545, 0.015, 0.016, 1.002, 0.00, 0.03, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.052,2550, 0.022, 0.017, 0.995, 0.06, -0.03, 0.15, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.058,2555, 0.012, 0.012, 0.997, 0.00, -0.15, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.062,2560, 0.015, 0.016, 0.998, 0.12, -0.22, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.068,2565, 0.013, 0.011, 0.997, 0.12, 0.03, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.072,2570, 0.012, 0.019, 0.995, 0.12, 0.15, -0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.078,2575, 0.018, 0.016, 0.992, 0.00, 0.15, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.082,2580, 0.013, 0.015, 1.000, 0.00, 0.15, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.088,2585, 0.014, 0.021, 0.999, -0.07, -0.03, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.092,2590, 0.015, 0.018, 0.999, -0.19, -0.09, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.098,2595, 0.015, 0.015, 0.998, -0.07, -0.09, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.102,2600, 0.019, 0.015, 0.996, 0.06, -0.15, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.108,2605, 0.013, 0.015, 0.991, 0.00, -0.15, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.112,2610, 0.018, 0.018, 0.998, 0.00, 0.09, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.118,2615, 0.012, 0.014, 0.998, 0.00, 0.09, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.122,2620, 0.011, 0.011, 1.000, -0.07, -0.03, -0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.128,2625, 0.018, 0.018, 1.001, -0.13, -0.15, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.132,2630, 0.011, 0.018, 0.995, 0.00, -0.22, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.138,2635, 0.015, 0.012, 1.003, 0.00, -0.15, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.142,2640, 0.014, 0.013, 0.992, -0.13, 0.03, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.148,2645, 0.016, 0.015, 1.002, 0.00, 0.09, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.152,2650, 0.019, 0.015, 0.996, 0.06, 0.09, -0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.158,2655, 0.015, 0.013, 0.998, 0.06, 0.03, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.162,2660, 0.019, 0.018, 0.996, 0.06, -0.03, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.168,2665, 0.013, 0.017, 0.995, -0.07, -0.09, 0.03, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.172,2670, 0.018, 0.015, 1.000, -0.13, 0.03, -0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.178,2675, 0.014, 0.016, 1.000, 0.00, 0.03, -0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.182,2680, 0.019, 0.017, 1.002, 0.06, -0.22, 0.09, -37.017, 3.767, -34.225, 0.89, -0.86, 0.00, 1.000, 0.008, -0.008, 0.000
16-40-48.188,2685, 0.012, 0.015, 1.002, 0.00, -0.40, 0.28, -37.017, 3.767, -34.225, 0.89, -0.87, 0.01, 1.000, 0.008, -0.008, 0.000
16-40-48.192,2690, 0.015, 0.012, 0.998, 0.00, -0.09, 0.09, -37.017, 3.767, -34.225, 0.89, -0.87, 0.01, 1.000, 0.008, -0.008, 0.000
