Time,ID,AccX(G), AccY, AccZ,GyrX(dps), GyrY, GyrZ,MagX(uT), MagY, MagZ,Roll(deg), Pitch, Yaw,Pressure
13-55-42.285,1,0.049,-0.011,1.01,0,-0.1,0.1,18.2,-27.2,-27.3,-0.5,-2.75,0,0
13-55-42.288,1,0.045,-0.007,1.013,0,-0.2,0,18.3,-27.3,-27.2,-0.5,-2.75,0,0
13-55-42.293,1,0.045,-0.007,1.017,0.1,-0.3,0,18.3,-27.3,-27.2,-0.5,-2.75,0,0
13-55-42.298,1,0.045,-0.011,1.006,0.1,-0.2,0,18.2,-27.1,-27.5,-0.5,-2.75,0,0
13-55-42.304,1,0.045,-0.003,1.017,0,0,0,18.2,-27.1,-27.5,-0.5,-2.75,0,0
13-55-42.308,1,0.049,-0.011,1.006,0,0.1,0,17.8,-27.2,-27.5,-0.5,-2.75,0,0
13-55-42.313,1,0.052,-0.007,1.006,0,0,0,17.8,-27.2,-27.5,-0.5,-2.75,0,0
13-55-42.319,1,0.045,-0.007,1.01,0,0,0,18.1,-27,-27.6,-0.5,-2.75,0,0
13-55-42.324,1,0.045,-0.011,1.013,0,0,0,18.1,-27,-27.6,-0.5,-2.75,0,0
13-55-42.328,1,0.049,-0.007,1.01,0,0.2,0,18.1,-27.5,-27.5,-0.5,-2.75,0,0
13-55-42.333,1,0.048,-0.011,1.002,0.1,0.1,0,18.1,-27.5,-27.5,-0.5,-2.75,0,0
13-55-42.339,1,0.045,-0.007,1.01,0,0,0,18.4,-27.4,-27.5,-0.5,-2.75,0,0
13-55-42.344,1,0.045,-0.011,1.017,0,0,0,18.4,-27.4,-27.5,-0.5,-2.75,0,0
13-55-42.350,1,0.053,-0.007,1.01,0,0,0.1,18.2,-27,-27.3,-0.5,-2.75,0,0
13-55-42.353,1,0.049,-0.011,1.01,0,0,0.2,18.2,-27,-27.3,-0.5,-2.74,0,0
13-55-42.359,1,0.045,-0.011,1.002,0,-0.2,0.1,18.2,-26.9,-27.2,-0.5,-2.74,0,0
13-55-42.363,1,0.049,-0.015,1.014,0.1,-0.1,0.1,18.2,-26.9,-27.2,-0.5,-2.75,0,0
